gla_id,borough,species_name,common_name,display_name,load_date,easting,northing,longitude,latitude
glaid_11856,Barking ,Acer pseudoplatanus,,Maple,20180214,546549,184551,0.11181056212337993,51.540856246934844
glaid_11994,Barking ,Acer saccharum,,Maple,20180214,549920,184078,0.16017443371491644,51.535721962265342
glaid_12499,Barking ,Acer pseudoplatanus 'purpureum',,Maple,20180214,547427,185086,0.12468682421380115,51.545427679077555
glaid_12516,Barking ,Acer pseudoplatanus,,Maple,20180214,548088,185185,0.13424662862007639,51.546145328179342
glaid_12782,Barking ,Ulmus carpinifolia,,Elm,20180214,549710,185258,0.15764878640947821,51.546376398321328
glaid_12919,Barking ,Acer platanoides,,Maple,20180214,549839,184921,0.15937174962071546,51.543317706991964
glaid_13019,Barking ,Acer campestre,,Maple,20180214,547754,188589,0.13086733915073998,51.576821760049995
glaid_13034,Barking ,Salix fragilis,,Willow,20180214,547768,188525,0.13104355641917984,51.576238527158388
glaid_13196,Barking ,Acer campestre,,Maple,20180214,547667,188294,0.1294901726757138,51.574191201267269
glaid_13427,Barking ,Acer campestre,,Maple,20180214,550287,184365,0.1655828196213969,51.538203183562302
glaid_13688,Barking ,Platanus x hispanica,,Plane,20180214,548072,188130,0.13526120662019661,51.572615106227971
glaid_13876,Barking ,Cotoneaster waterii,,Other,20180214,545730,183815,0.099693300533083146,51.534453291497222
glaid_13935,Barking ,X cupresocyparis leylandii,,Cypress,20180214,549261,186999,0.15192377661465659,51.562136245658415
glaid_14007,Barking ,Tilia cordata,,Lime,20180214,545201,185034,0.092585809111171244,51.545544266175384
glaid_14521,Barking ,Prunus kanzan,,Cherry,20180214,545665,184041,0.098855880946098512,51.53649794604565
glaid_14944,Barking ,Prunus avium,,Cherry,20180214,550707,184709,0.17178813586808611,51.54117480467432
glaid_15165,Barking ,Chamaecyparis lawsoniana,,Cypress,20180214,548222,189499,0.13799123349394979,51.584876482058327
glaid_15203,Barking ,Sorbus intermedia,,Whitebeam,20180214,548071,189644,0.13587591582965264,51.586218951779216
glaid_15742,Barking ,X cupresocyparis leylandii,,Cypress,20180214,548873,183617,0.14489632631225949,51.531848544636581
glaid_15951,Barking ,Ilex aquifolium,,Other,20180214,548043,185468,0.13371296407659089,51.548703594689236
glaid_16069,Barking ,Sorbus aucuparia,,Whitebeam,20180214,547842,186510,0.13125826352983785,51.558120497136727
glaid_16113,Barking ,Catalpa bignonioides,,Other,20180214,547954,186493,0.13285981781237685,51.557939414051305
glaid_16554,Bromley,Zz tree pit capped,,Other,20180214,540207,166378,0.013224945838297331,51.379164174835644
glaid_16573,Bromley,Zz tree pit capped,,Other,20180214,539215,168564,-0.00016785063767915572,51.399045603921969
glaid_16583,Bromley,Zz tree pit,,Other,20180214,545696,166906,0.092256455509238486,51.382527686206934
glaid_16949,Bromley,Zz tree stump,,Other,20180214,544830,167079,0.07988959430928215,51.384295576854861
glaid_16995,Bromley,Zz tree stump,,Other,20180214,544538,169795,0.076800209215565476,51.408778762533338
glaid_17261,Bromley,Zz vacant tree pit,,Other,20180214,537723,166218,-0.022517899496110456,51.378328675423802
glaid_17715,Bromley,Zz tree pit capped,,Other,20180214,540406,171068,0.017927621586038226,51.421252526947811
glaid_18360,Bromley,Acer pseudoplatanus,,Maple,20180214,546819,166719,0.10829325600434717,51.380553103947534
glaid_18384,Bromley,Tilia x europea,,Lime,20180214,546928,165814,0.10948743557079731,51.372394747082247
glaid_18460,Bromley,Ulmus glabra,,Elm,20180214,546008,164365,0.09568777714190306,51.3596097913018
glaid_18544,Bromley,Prunus subhirtella autumnalis,,Cherry,20180214,538032,165341,-0.018418444370692549,51.370369992840899
glaid_18570,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,539131,167952,-0.0016156557705899327,51.393567592860315
glaid_19701,Bromley,Acer pseudoplatanus,,Maple,20180214,545837,164366,0.093238465358664965,51.359667976250435
glaid_19858,Bromley,Acer pseudoplatanus purpureum,,Maple,20180214,535191,170765,-0.057141329857861745,51.419800723828502
glaid_19893,Bromley,Populus x canadensis,,Poplar,20180214,547401,168223,0.11728406110662054,51.393920010431778
glaid_19944,Bromley,Acer platanoides,,Maple,20180214,547662,165970,0.12009841827873696,51.373608795503536
glaid_20205,Bromley,Betula pendula,,Birch,20180214,536814,168572,-0.034665828318949293,51.399703034496092
glaid_20863,Bromley,Sorbus aucuparia,,Whitebeam,20180214,540370,166050,0.015430062602977239,51.376171202647676
glaid_21173,Bromley,Quercus robur,,Oak,20180214,539693,167716,0.0063669033407565906,51.391307965289435
glaid_21666,Bromley,Prunus x schmittii,,Cherry,20180214,545851,165974,0.094088407220878398,51.374112606974151
glaid_21864,Bromley,Tilia x europea,,Lime,20180214,534442,169242,-0.068480711343196402,51.406288634334139
glaid_21892,Bromley,Tilia platyphyllos,,Lime,20180214,535217,170137,-0.057009720428911607,51.414153802827499
glaid_21991,Bromley,Sorbus auc 'joseph rock',,Whitebeam,20180214,539342,165571,0.00048211187543775475,51.372124318387769
glaid_22563,Bromley,Prunus avium,,Cherry,20180214,546354,167071,0.10176408580780023,51.383835050003782
glaid_22662,Bromley,Betula pendula,,Birch,20180214,546200,168053,0.099961006044326797,51.392700273548314
glaid_22817,Bromley,Zz tree pit,,Other,20180214,543963,171302,0.069141314815139868,51.422465636077206
glaid_22846,Bromley,Malus tschonoskii,,Apple,20180214,542939,171433,0.054479599107284601,51.423902544544681
glaid_22881,Bromley,Betula pendula,,Birch,20180214,540728,166134,0.020599470161114266,51.376842055996548
glaid_23170,Bromley,Prunus serrulata,,Cherry,20180214,538581,166523,-0.010069923372531231,51.380866118571475
glaid_23316,Bromley,Prunus x schmittii,,Cherry,20180214,533704,170595,-0.07857638621230402,51.418623541878816
glaid_24223,Bromley,Tilia platyphyllos,,Lime,20180214,542051,165324,0.039268998825152862,51.369228013491401
glaid_24254,Bromley,Tilia platyphyllos,,Lime,20180214,545272,165502,0.085594354470172537,51.370018555565174
glaid_24630,Bromley,Acer platanoides,,Maple,20180214,539590,170817,0.0061066521099524523,51.419199173708648
glaid_24716,Bromley,Prunus serrulata,,Cherry,20180214,536848,168400,-0.034237823810339303,51.39815089457786
glaid_25069,Bromley,Pyrus com. 'chanticleer',,Pear,20180214,536416,169047,-0.040195482443343679,51.404064518064978
glaid_25072,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,536529,167790,-0.039053434716617264,51.392746882849167
glaid_25090,Bromley,Prunus serrulata,,Cherry,20180214,541825,171840,0.038629403673834523,51.427841212713517
glaid_25155,Bromley,Carpinus betulus fastigiata,,Hornbeam,20180214,542648,170765,0.050035662327915599,51.417974033405791
glaid_25342,Bromley,X cupressocyparis leylandii,,Cypress,20180214,546407,164074,0.10129615333585756,51.356892349678212
glaid_25362,Bromley,Fraxinus excelsior,,Ash,20180214,546715,166852,0.10686195165391799,51.381774020707311
glaid_25529,Bromley,Prunus x schmittii,,Cherry,20180214,537377,170990,-0.02563485067533312,51.421292162881024
glaid_25671,Bromley,Ulmus glabra,,Elm,20180214,546236,168637,0.10072154276088682,51.397943022955658
glaid_25678,Bromley,Sorbus aria,,Whitebeam,20180214,546109,169632,0.099299432883700009,51.406915592586834
glaid_25825,Bromley,Crataegus monogyna,,Hawthorn,20180214,540886,168649,0.023866240061609114,51.399396441450477
glaid_25995,Bromley,Prunus avium,,Cherry,20180214,547569,168485,0.11980431138490522,51.396227902876859
glaid_26220,Bromley,Crataegus x lavellei,,Hawthorn,20180214,536612,169307,-0.037280803869588111,51.406354756157484
glaid_26371,Bromley,Prunus avium,,Cherry,20180214,535654,169192,-0.051083923818607928,51.405550063198504
glaid_26454,Bromley,Prunus serrulata,,Cherry,20180214,546514,165698,0.10350038722819245,51.371458319769232
glaid_26873,Bromley,Acer platanoides crimson king,,Maple,20180214,542263,165241,0.042292273857267214,51.368430731596476
glaid_26979,Bromley,Sorbus aria,,Whitebeam,20180214,539223,170192,0.00058843047565449629,51.413674799411211
glaid_27261,Bromley,Crataegus monogyna,,Hawthorn,20180214,536566,168640,-0.038200943358788028,51.400376479386424
glaid_27408,Bromley,Prunus serrulata,,Cherry,20180214,542452,166480,0.04550031151800478,51.379517881392708
glaid_27430,Bromley,Prunus x schmittii,,Cherry,20180214,535687,169886,-0.050344434637456824,51.411780531682453
glaid_27639,Bromley,Zz tree pit,,Other,20180214,539682,168565,0.0065370106698814162,51.398940872620905
glaid_27783,Bromley,Fraxinus ornus,,Ash,20180214,540124,167537,0.012482639079978989,51.389596057855179
glaid_27862,Bromley,Malus x purpurea,,Apple,20180214,536786,168634,-0.035032632787416938,51.400268537138849
glaid_28105,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,539562,166791,0.0041209131847905625,51.383033415219735
glaid_28387,Bromley,Acer platanoides,,Maple,20180214,546398,164492,0.10133617832038996,51.360654305488907
glaid_28599,Bromley,Prunus subhirtella,,Cherry,20180214,538398,166574,-0.012676761517035739,51.38136360511055
glaid_28770,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,539795,165696,0.007039382542611358,51.373137169797126
glaid_28778,Bromley,Zz tree pit capped,,Other,20180214,536246,169056,-0.042630055802617452,51.404189741349789
glaid_28789,Bromley,Quercus robur,,Oak,20180214,542058,172135,0.042099526073531061,51.430430090796293
glaid_28807,Bromley,Crataegus monogyna,,Hawthorn,20180214,541804,171861,0.038340332909014341,51.428036888637266
glaid_28922,Bromley,Prunus avium,,Cherry,20180214,545098,165415,0.083052305944380539,51.369280498324628
glaid_28961,Bromley,Zz tree pit,,Other,20180214,536191,168472,-0.043642758999772338,51.398955773727515
glaid_29298,Bromley,Betula pendula,,Birch,20180214,545648,166854,0.09154281180046972,51.382068298374854
glaid_29454,Bromley,Prunus avium,,Cherry,20180214,546209,165790,0.099163726161136626,51.372359868340745
glaid_29515,Bromley,Prunus serrulata,,Cherry,20180214,542715,167562,0.04970672018482522,51.38917199073029
glaid_29529,Bromley,Pyrus com. 'chanticleer',,Pear,20180214,539602,165734,0.0042787556745206247,51.373520765644685
glaid_29770,Bromley,Sorbus x intermedia,,Whitebeam,20180214,545664,164654,0.0908688257715142,51.362295783643816
glaid_29818,Bromley,Acer pseudoplatanus,,Maple,20180214,540936,170535,0.025336452427793886,51.416338739469673
glaid_29972,Bromley,Acer platanoides crimson king,,Maple,20180214,546745,163933,0.10608463132498522,51.355540130722375
glaid_30082,Bromley,Sorbus aria,,Whitebeam,20180214,545681,165806,0.091584486084226188,51.372642922707392
glaid_30553,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,540430,165922,0.016243935050118126,51.37500700938579
glaid_30555,Bromley,Acer platanoides,,Maple,20180214,540422,165893,0.016111918190320654,51.37474938717785
glaid_30722,Bromley,Malus tschonoskii,,Apple,20180214,543697,164872,0.062724935334583579,51.364757025932036
glaid_30942,Bromley,Pyrus com. 'chanticleer',,Pear,20180214,545015,166086,0.082134291317653832,51.375330198514128
glaid_31460,Bromley,Prunus serrulata,,Cherry,20180214,538755,168185,-0.0069311442887621116,51.395756155295437
glaid_31609,Bromley,Zz tree pit with stake,,Other,20180214,537174,168212,-0.029620003232271392,51.396383588989785
glaid_31676,Bromley,Zz tree pit capped,,Other,20180214,544902,164414,0.079831151449324511,51.360338466684325
glaid_32104,Bromley,Fraxinus excelsior,,Ash,20180214,546950,165777,0.10978499473493726,51.372053949520819
glaid_32107,Bromley,Prunus x schmittii,,Cherry,20180214,543959,164283,0.066248983684045359,51.359398065486864
glaid_32381,Bromley,Betula pendula,,Birch,20180214,537483,170594,-0.024266111995386343,51.417710657696475
glaid_32545,Bromley,Populus x canadensis,,Poplar,20180214,541803,167501,0.036587112855122221,51.388856705082937
glaid_32672,Bromley,Acer pseudoplatanus,,Maple,20180214,546020,164368,0.095861360219986938,51.359636362410193
glaid_32800,Bromley,Cedrus atlantica glauca,,Other,20180214,544383,170200,0.0747393883049704,51.412458293561762
glaid_32948,Bromley,Prunus kanzan,,Cherry,20180214,544100,171131,0.071049687721932347,51.420898640186621
glaid_33004,Bromley,Sambucus nigra,,Other,20180214,541795,170238,0.037563577092518563,51.413453212147282
glaid_33019,Bromley,Acer platanoides,,Maple,20180214,542190,168676,0.042612427318946572,51.39931395999519
glaid_33360,Bromley,Acer platanoides globosum,,Maple,20180214,546615,169858,0.10665964635576232,51.408815005731853
glaid_33576,Bromley,Corylus colurna,,Hazel,20180214,545572,167329,0.090647564149415466,51.386358630957936
glaid_33654,Bromley,Fraxinus excelsior,,Ash,20180214,547602,166914,0.11962166993128544,51.382106818617999
glaid_33888,Bromley,Aesculus hippocastanum,,Chestnut/ Sweet Chestnut,20180214,538218,168493,-0.014522174755133949,51.398657513261526
glaid_33912,Bromley,Platanus x acerifolia,,Plane,20180214,535131,170016,-0.058294792070171297,51.413081584590081
glaid_34005,Bromley,Tilia platyphyllos,,Lime,20180214,534673,170122,-0.064823406615594936,51.414141902031162
glaid_34116,Bromley,Aesculus hippocastanum,,Chestnut/ Sweet Chestnut,20180214,546948,165777,0.10975907092690074,51.37205261781007
glaid_34405,Bromley,Sorbus aria,,Whitebeam,20180214,543310,164701,0.057103713152573309,51.36331628325992
glaid_34430,Bromley,Acer platanoides,,Maple,20180214,547348,168425,0.11659777878644664,51.395744495256643
glaid_34483,Bromley,Acer pseudoplatanus,,Maple,20180214,537724,169522,-0.021217213806010035,51.408016257578687
glaid_34536,Bromley,Prunus serrula,,Cherry,20180214,537245,169757,-0.028016146558370984,51.410244169241508
glaid_34698,Bromley,Zz not positively identified -,,Other,20180214,537141,171181,-0.028957315420267884,51.423065704359921
glaid_35022,Bromley,Tilia x europea,,Lime,20180214,537336,170702,-0.02633698959755508,51.418715871089518
glaid_35535,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,540005,167407,0.010716374184014762,51.388453714353453
glaid_35647,Bromley,Acer pseudoplatanus,,Maple,20180214,546275,168613,0.10126025582219995,51.397714834354389
glaid_36066,Bromley,Aesculus hippocastanum,,Chestnut/ Sweet Chestnut,20180214,536236,168698,-0.042916898157128597,51.400973321913298
glaid_36444,Bromley,Zz tree stump,,Other,20180214,547297,165510,0.11465612232262523,51.369566783981341
glaid_36555,Bromley,Pyrus com. 'chanticleer',,Pear,20180214,545280,167601,0.086563808172642878,51.388874816834004
glaid_36571,Bromley,Sorbus aucuparia,,Whitebeam,20180214,541158,159734,0.024247359151707611,51.319218965108881
glaid_36720,Bromley,Aesculus hippocastanum,,Chestnut/ Sweet Chestnut,20180214,545598,163628,0.089501790923712146,51.353090668528615
glaid_36753,Bromley,Acer campestre,,Maple,20180214,546488,166280,0.10336124576746597,51.376698334646505
glaid_36950,Bromley,Pyrus com. 'chanticleer',,Pear,20180214,539060,167269,-0.0029000154471607951,51.387444687003843
glaid_36986,Bromley,Betula pendula,,Birch,20180214,538355,168355,-0.012607911132335751,51.397382254911186
glaid_37093,Bromley,Crataegus monogyna,,Hawthorn,20180214,545545,167093,0.090154653868017756,51.384246886512734
glaid_37565,Bromley,Acer saccharum,,Maple,20180214,538881,169791,-0.0044904541334473752,51.410151681363402
glaid_37623,Bromley,Prunus serrulata,,Cherry,20180214,538002,169871,-0.017091212235737809,51.411088595083569
glaid_38051,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,539734,165008,0.0058919219387578419,51.366969725832554
glaid_38076,Bromley,Prunus serrulata,,Cherry,20180214,542409,170149,0.046352381080011371,51.412500603464679
glaid_38103,Bromley,Prunus serrulata,,Cherry,20180214,540193,167709,0.013540036686982707,51.391123762655816
glaid_38471,Bromley,Prunus serrulata,,Cherry,20180214,540684,169862,0.021443892758720121,51.41035377065252
glaid_38527,Bromley,Acer pseudoplatanus,,Maple,20180214,540205,165050,0.012665414364313008,51.36722675137036
glaid_38560,Bromley,Betula pubescens,,Birch,20180214,543644,167343,0.062956460520659355,51.386975391080611
glaid_38693,Bromley,Alnus cordata,,Alder,20180214,543342,167218,0.058571796117623212,51.385928399187335
glaid_38726,Bromley,Carpinus betulus,,Hornbeam,20180214,545886,165041,0.094209469930367662,51.365713695134914
glaid_38942,Bromley,Betula pendula,,Birch,20180214,546995,170301,0.11230694680728057,51.412692722215716
glaid_39030,Bromley,Prunus kanzan,,Cherry,20180214,536906,168078,-0.033531585379008744,51.395243366339287
glaid_39189,Bromley,Sorbus aucuparia,,Whitebeam,20180214,539292,166189,9.0679759120146301e-06,51.377688183752596
glaid_39263,Bromley,Populus x canadensis,,Poplar,20180214,547401,168222,0.11728073213112046,51.393910178312275
glaid_39921,Bromley,Quercus robur,,Oak,20180214,541962,172023,0.040668878704941971,51.429446912310425
glaid_40146,Bromley,Crataegus monogyna,,Hawthorn,20180214,548030,164138,0.1246078797463139,51.357047373592927
glaid_40327,Bromley,Sorbus x thuringiaca fastigiat,,Whitebeam,20180214,536561,169123,-0.03808719065013462,51.404714488687887
glaid_40821,Bromley,Sorbus aucuparia,,Whitebeam,20180214,545984,168477,0.097025525322680689,51.396562264885162
glaid_40943,Bromley,Alnus cordata,,Alder,20180214,541078,171379,0.027718185054499505,51.423880309108604
glaid_40976,Bromley,Fagus sylvatica,,Beech,20180214,542360,167670,0.044653175776377625,51.390238717071497
glaid_41193,Bromley,Acer platanoides,,Maple,20180214,546728,167780,0.10742879086281548,51.39010840946306
glaid_41762,Bromley,Prunus serrulata,,Cherry,20180214,539028,168166,-0.0030085667216946822,51.395514907235466
glaid_42063,Bromley,Acer campestre,,Maple,20180214,540348,168839,0.016214260469187954,51.401241494601237
glaid_42088,Bromley,Prunus avium,,Cherry,20180214,545245,164406,0.084753398308481248,51.360170926856441
glaid_42272,Bromley,Acer pseudoplatanus,,Maple,20180214,547265,165886,0.11436097276588723,51.372952582717453
glaid_42371,Bromley,Mixed species,,Other,20180214,543126,167265,0.055494238330888498,51.386399704300302
glaid_42405,Bromley,Prunus serrulata,,Cherry,20180214,539451,166710,0.0024879327206411964,51.382332916196049
glaid_42614,Bromley,Crataegus monogyna,,Hawthorn,20180214,545883,164357,0.093884617152541802,51.359568296029302
glaid_42710,Bromley,Sorbus x intermedia,,Whitebeam,20180214,536799,167901,-0.035126943888380911,51.39367300982672
glaid_42959,Bromley,Robinia pseudoacacia,,Black Locust,20180214,540311,169660,0.016005711161406918,51.408628202916248
glaid_43048,Bromley,Fraxinus angustifolia,,Ash,20180214,546887,166026,0.10898789010674233,51.374312055481745
glaid_43244,Bromley,Tilia x europea,,Lime,20180214,536535,170409,-0.037954589511353568,51.416276964998772
glaid_43573,Bromley,Prunus avium,,Cherry,20180214,547685,166900,0.12080594624474382,51.381953188689536
glaid_43723,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,538636,167840,-0.0087667818798214184,51.392679444870275
glaid_44287,Bromley,Populus nigra italica,,Poplar,20180214,547264,167502,0.11500583154676525,51.387472722510111
glaid_44406,Bromley,Betula pendula,,Birch,20180214,541766,168932,0.036616741064589189,51.401725895545773
glaid_44827,Bromley,Prunus serrulata,,Cherry,20180214,546775,164427,0.10672444084895012,51.359968475893332
glaid_44860,Bromley,Prunus x schmittii,,Cherry,20180214,547294,167332,0.11537774073489605,51.385938099544191
glaid_45031,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,545194,167933,0.085461563273562302,51.39188189785537
glaid_45346,Bromley,Crataegus monogyna,,Hawthorn,20180214,541228,171250,0.029810100076383163,51.422689417360793
glaid_45564,Bromley,Populus nigra italica,,Poplar,20180214,547322,167528,0.11584979478441676,51.387696697216008
glaid_45854,Bromley,Prunus cerasifera pissardii,,Cherry,20180214,538746,167668,-0.0072637920942878621,51.391111622974229
glaid_46140,Bromley,Sorbus aucuparia,,Whitebeam,20180214,539614,164932,0.0041408310712732176,51.366315338984677
glaid_46422,Bromley,Sorbus x intermedia,,Whitebeam,20180214,537813,168504,-0.020336286361596817,51.398848511072714
glaid_46471,Bromley,Malus tschonoskii,,Apple,20180214,536263,169171,-0.042349049342061816,51.405214719176534
glaid_47119,Bromley,Liquidamber styraciflua,,Other,20180214,546605,165425,0.1046970798528544,51.368979938869906
glaid_47229,Bromley,Prunus schmitti,,Cherry,20180214,535709,169808,-0.050066661554168106,51.411076274215425
glaid_47262,Bromley,Crataegus monogyna,,Hawthorn,20180214,545372,164770,0.086725184707864625,51.363416457018374
glaid_47396,Bromley,Malus x purpurea,,Apple,20180214,546986,164866,0.10993438448954464,51.363864926471678
glaid_47515,Bromley,Crataegus monogyna,,Hawthorn,20180214,540713,171147,0.022372770761942853,51.42188723639925
glaid_47901,Bromley,Betula pendula,,Birch,20180214,546660,165394,0.10547388393139825,51.368688095712379
glaid_48108,Bromley,Prunus avium,,Cherry,20180214,539464,165756,0.0023062624327953793,51.37375773396716
glaid_48226,Bromley,Platanus x acerifolia,,Plane,20180214,540515,166651,0.01775118289290287,51.381541362589395
glaid_48374,Bromley,Prunus x schmittii,,Cherry,20180214,547550,166414,0.11866602414037249,51.377626705600669
glaid_48600,Bromley,Carpinus betulus fastigiata,,Hornbeam,20180214,542362,171766,0.046327068229523122,51.427036197694349
glaid_48843,Bromley,Acer platanoides,,Maple,20180214,539459,165026,0.0019509931212081198,51.367194515612461
glaid_48893,Bromley,Prunus serrulata,,Cherry,20180214,543642,171065,0.064441737988417319,51.420414506603883
