City,"Temperature (2050s)","Precipitation (2050s)","Sea Level Rise (2050s)"
Aalborg,+1.1 to 3.7°C,-1 to +14%
Abu Dhabi,+1.6 to 3.4°C,-32 to +49%,+15 to 60 cm
Accra,+1.2 to 2.4°C,-12 to +11%,+17 to 58 cm
Addis Ababa,+1.4 to 3.3°C,-6 to +16%
Ahmedabad,+1.6 to 3.1°C,-5 to +53%
Almada,+0.8 to 2.3°C,-26 to -2%
Antofagasta,+1.2 to 2.9°C,-35 to +30%,+13 to 55 cm
Antwerp,+1.1 to 3°C,-3 to +12%,+18 to 70 cm
Athens,+1.4 to 3.1°C,-22 to +4%,+15 to 55 cm
"Atlanta, GA",+1.6 to 3.1°C,-2 to +13%
Bangalore,+1.3 to 2.6°C,-5 to +18%
Bangkok,+1.2 to 2.8°C,-9 to +14%,+15 to 57 cm
Bath,+1.3 to 3.6°C,-2 to +16%
Berkeley,+1.4 to 3.2°C,-7 to +12%
Berlin,+1.6 to 3.9°C,0 to +14%
Bilbao,+1.7 to 3.8°C,-4 to +10%
Bobo-Dioulasso,+1.2 to 2.2°C,-15 to +7%
"Boston, MA",+1.2 to 3°C,-4 to +12%,+16 to 70 cm
Boulder,+0.8 to 2°C,-1 to +15%
Brisbane,+1.5 to 3.4°C,-31 to +9%,+15 to 58 cm
Brussels,+1.7 to 3.9°C,-1 to +17%
Buenos Aires,+1.2 to 2.2°C,-3 to +15%,+14 to 54 cm
Cairo,+1.4 to 2.5°C,-10 to +10%
Calgary,+1 to 1.9°C,-23 to -5%
Can Tho,+1.3 to 3.1°C,-20 to +11%,+14 to 58 cm
Canberra,+1.1 to 2.3°C,-2 to +19%
Cape Town,+1.2 to 3.7°C,-1 to +18%,+16 to 57 cm
Chula Vista,+1.1 to 2.6°C,-6 to +15%,+14 to 56 cm
Colombo,+1 to 2.4°C,-3 to +16%,+14 to 59 cm
Copenhagen,+1.1 to 2.3°C,-31 to +27%,+16 to 70 cm
Cubatao,+1.2 to 2.1°C,-14 to +13%,+14 to 56 cm
Curitiba,+1.5 to 3.3°C,-13 to +28%
Dakar,+1.8 to 3.8°C,-6 to +8%,+15 to 56 cm
Dar es Salaam,+1.2 to 3°C,-5 to +30%,+15 to 60 cm
Delhi,+0.7 to 2.5°C,-2 to +12%
Denver,+1.2 to 2.3°C,-9 to +7%
Dhaka,+1.7 to 3.7°C,-21 to +34%,+14 to 57 cm
Dublin,+1.2 to 2.5°C,-5 to +12%,+15 to 65 cm
Durban,+1.3 to 3.5°C,-8 to +6%,+14 to 58 cm
Enschede,+0.8 to 2.6°C,0 to +10%
Faisalabad,+1.1 to 2.2°C,-14 to +6%
Fort Lauderdale,+1.6 to 3.3°C,-19 to +33%,+15 to 62 cm
Geneva,+1.6 to 4.5°C,3 to +16%
Genoa,+1.1 to 2.5°C,-5 to +13%,+15 to 56 cm
Glasgow,+1.4 to 2.9°C,-3 to +30%
Gold Coast,+1.4 to 3.4°C,-15 to +5%,+15 to 58 cm
Gorakhpur,+1.2 to 2.5°C,-11 to +12%
Gothenburg,+1.3 to 3.5°C,-2 to +13%,+17 to 70 cm
Gunnison,+1.6 to 3.4°C,-27 to -1%
Hayama,+1.6 to 3.2°C,-10 to +7%,+13 to 65 cm
Helsinki,+0.9 to 2.9°C,-9 to +26%,+18 to 75 cm
Hoboken,+1.4 to 3°C,-4 to +24%
Hong Kong,+1.9 to 4.2°C,-12 to +10%,+15 to 60 cm
Hyderabad,+1 to 2.8°C,-6 to +34%
Indore,+1.2 to 2.4°C,-20 to +14%
Istanbul,+1.1 to 2.6°C,-10 to +10%,+15 to 55 cm
Jakarta,+1.1 to 3.1°C,-3 to +12%,+14 to 58 cm
Jena,+1.4 to 2.9°C,-7 to +33%
Jerusalem,+1 to 2.7°C,-4 to +10%
Johannesburg,+1.4 to 2.9°C,-20 to +9%
Kampala,+1.1 to 2.1°C,-10 to +11%
Kassel,+0.9 to 2.8°C,-3 to +11%
Kathmandu,+1.1 to 2.1°C,-3 to +14%
Kedarnath,+1.3 to 2.6°C,-15 to +8%
Khulna,+1.1 to 2.1°C,2 to +20%,+14 to 57 cm
Kingston,+1.4 to 2.8°C,-4 to +14%,+14 to 57 cm
Kunshan,+1.3 to 3.2°C,-16 to +3%,+13 to 59 cm
La Ceiba,+1.3 to 2.2°C,-14 to +5%,+15 to 59 cm
Lagos,+1.5 to 3°C,-14 to +7%,+16 to 58 cm
Leipzig,+1.2 to 2.4°C,-5 to +11%
Leusden,+1.1 to 3.6°C,-2 to +12%
Leuven,+1.8 to 4.7°C,-1 to +19%
Lima,+1.9 to 3.7°C,-18 to +40%,+14 to 55 cm
Lismore,+1.2 to 2.2°C,-13 to +7%
London,+1.3 to 2.5°C,-2 to +43%,+17 to 70 cm
Los Angeles,+1.3 to 2.6°C,-10 to +41%,+14 to 56 cm
Makassar,+1.3 to 3.3°C,-17 to +1%,+15 to 58 cm
Manchester,+1.6 to 3.4°C,1 to +19%
Manila,+1.7 to 3.7°C,1 to +13%,+14 to 60 cm
Maputo,+1.8 to 3.5°C,1 to +14%,+15 to 58 cm
Masdar,+1.6 to 3.2°C,-2 to +13%,+15 to 60 cm
Matara,+1 to 2.3°C,-14 to +12%,+14 to 59 cm
Medellin,+1.3 to 3.2°C,-6 to +8%
"Mediterranean Spain
(Ebro Delta)",+1.8 to 3.9°C,-20 to +20%,+15 to 57 cm
Melbourne,+1.8 to 3.5°C,1 to +13%,+12 to 56 cm
Mexico City,+1.1 to 2.2°C,-21 to +4%
Miami,+1.3 to 2.6°C,-4 to +19%,+15 to 62 cm
Middelfart,+1.8 to 3.9°C,-21 to +23%,+16 to 70 cm
Montreal,+1 to 2.1°C,-14 to +10%
Moscow,+1.5 to 3.5°C,-16 to +3%
Multan,+1.1 to 2.9°C,-2 to +14%
Mumbai,+1.2 to 2.8°C,-12 to +14%,+15 to 58 cm
Nairobi,+0.9 to 2.2°C,-4 to +16%
Nanjing,+1.2 to 2.5°C,-31 to -1%
Naples,+1.1 to 2.4°C,-26 to +2%,+15 to 56 cm
New Brunswick,+1.2 to 2.6°C,-6 to +13%
"Newcastle upon
Tyne",+1.4 to 3.7°C,-3 to +10%
New Songdo City,+1.1 to 2.4°C,-12 to +12%,+13 to 60 cm
New York City,+1.5 to 3.4°C,1 to +19%,+16 to 71 cm
"Newark, DE",+1.4 to 3.1°C,-2 to +9%
Norfolk,+1.2 to 2.8°C,-6 to +12%,+15 to 67 cm
Nova Friburgo,+1.9 to 3.9°C,-13 to +17%
Ottawa,+1.1 to 2.3°C,-5 to +12%
